productname,size,newprice,oldprice,link
M&M's Eisbecher Peanut 450ml,450ml,"5,79",0,https://www.goflink.com//de-DE/shop/product/mandms-eisbecher-peanut-450ml-11017911/
Milk Made Ice Cream Mango-Sorbet vegan 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-mango-sorbet-vegan-500ml-11016732/
Milk Made Ice Cream Stracciatella 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-stracciatella-500ml-11016730/
Milk Made Ice Cream White Chocolate Brownie 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-white-chocolate-brownie-500ml-11016731/
Nomoo Veganes Bio Kakao Eis 500ml,500ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/nomoo-veganes-kakao-eis-500ml-11015007/
Nomoo Veganes Bio Mango Eis 500ml,500ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/nomoo-veganes-mango-eis-500ml-11015013/
Nomoo Veganes Bio Vanille Eis 500ml,500ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/nomoo-veganes-vanille-eis-500ml-11015012/
Oatly Hafer Eis Chocolate Fudge 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-chocolate-fudge-500ml-11017108/
Oatly Hafer Eis Hazelnut Swirl 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-hazelnut-swirl-500ml-11017107/
Oatly Hafer Eis Salted Caramel 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-salted-caramel-500ml-11017106/
Roberto Ghirloni Fortuna Eisbecher mit Löffel 125ml,125ml,"1,75","2,19",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-fortuna-eisbecher-mit-loffel-125ml-11017245/
Roberto Ghirloni Vanille Eis 480ml,480ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-vanille-eis-480ml-11017243/
Roberto Ghirloni Zitrone Eis vegan 480ml,480ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-zitrone-eis-vegan-480ml-11017244/
Schwartau Eiswunder Eisglasur 125ml,125ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/schwartau-eiswunder-eisglasur-125ml-11017839/
Schwartau Schokosauce 250ml,250ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/schwartau-schokosauce-250ml-11017841/
Snickers Eisbecher 450ml,450ml,"5,79",0,https://www.goflink.com//de-DE/shop/product/snickers-eisbecher-450ml-11017910/
Langnese Cornetto King Cone Vanilla 260ml,260ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/langnese-cornetto-king-cone-vanilla-260ml-11016258/
Magnum Classic 120ml,120ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-classic-120ml-11016256/
Magnum White Chocolate & Cookies 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-white-chocolate-and-cookies-90ml-11016259/
Langnese Nogger Choc 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/langnese-nogger-choc-90ml-11017831/
Magnum Double Gold Caramel Billionaire 85ml,85ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-double-gold-caramel-billionaire-85ml-11017417/
Nestlé Pirulo Kaktus 4 Friends 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/nestle-pirulo-kaktus-4-friends-90ml-11017648/
Oreo Ice Cream Sandwich 135ml,135ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/oreo-ice-cream-sandwich-135ml-11017416/
Ben & Jerry's Cookie Dough Peace Pop 240ml (3x80ml),3x80ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-cookie-dough-peace-pop-240ml-3x80ml-11017226/
Dovgan Plombir Original 780ml (6x130ml),6x130ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/dovgan-plombir-original-780ml-6x130ml-11017400/
Ferrero Rocher Ice Cream Classic 200g (4x50g),4x50g,"3,49",0,https://www.goflink.com//de-DE/shop/product/ferrero-rocher-ice-cream-classic-200g-4x50g-11016333/
Froobie Fruchties 400ml (10x40ml),10x40ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/froobie-multipack-fruchties-10-x-40ml-11017207/
Kinder Bueno Eis 248ml (4x62ml),4x62ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/kinder-bueno-eis-248ml-4x62ml-11016331/
Kinder Bueno Eis White 248ml (4x62ml),4x62ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/kinder-bueno-eis-white-248ml-4x62ml-11016942/
Langnese Capri 495ml (9x55ml),9x55ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/langnese-capri-495ml-9x55ml-11018069/
Langnese Cornetto Soft Chocolatey 560ml (4x140ml),4x140ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/langnese-cornetto-soft-chocolatey-560ml-4x140ml-11017413/
Langnese Cuja Mara Split 504ml (6x84ml),6x84ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/langnese-cuja-mara-split-familienpackung-maracuja-eis-6x84ml-11013151/
Langnese Flutschfinger 512ml (8x64ml),8x64ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/langnese-flutschfinger-512ml-8x64ml-11017832/
Langnese Likkies Strawberry Cheesecake 420ml (5x84ml),5x84ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/langnese-likkies-strawberry-cheesecake-420ml-5x84ml-11017403/
Langnese Star Wars Yoda Shaped Ice Cream 360ml (6x60ml),6x60ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/langnese-star-wars-yoda-shaped-ice-cream-360ml-6x60ml-11017402/
Magnum Almond 660ml (6x110ml),6x110ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/magnum-almond-660ml-6x110ml-11015005/
Magnum Almond Remix 255ml (3x85ml),3x85ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/magnum-almond-remix-255ml-3x85ml-11017414/
Magnum Collection White Chocolate Coconut & Almonds 270ml (3x90ml),3x90ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/magnum-collection-white-chocolate-coconut-and-almonds-270ml-3x90ml-11017835/
Magnum Mini Mix Classic Almond White 330ml (6x55ml),6x55ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/magnum-mini-mix-classic-almond-white-330ml-6x55ml-11015009/
Magnum Vegan Almond 270ml (3x90ml),3x90ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/magnum-vegan-almond-270ml-3x90ml-11015004/
Magnum White Chocolate & Berry Remix 255ml (3x85ml),3x85ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/magnum-white-chocolate-and-berry-remix-255ml-3x85ml-11017833/
Nestlé Pirulo Kaktus 405ml (9x45ml),9x45ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/scholler-eis-kaktus-9x45ml-11013459/
Nestlé Pirulo Watermelon 365ml (5x73ml),5x73ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/scholler-pirulo-watermelon-365ml-4x73ml-11016332/
Nestlé Schöller Big Sandwich 840ml (6x140ml),6x140ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/nestle-scholler-big-sandwich-840ml-6x140ml-11018070/
Nestlé Schöller Bum Bum 288ml (4x72ml),4x72ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/scholler-bum-bum-288ml-4x72ml-11017411/
Nestlé Schöller Family Box 563ml (7 Stück),Stück,"3,49",0,https://www.goflink.com//de-DE/shop/product/scholler-family-box-563ml-7-stuck-11016795/
Nuii Caramel White Chocolate & Texan Pecan 270ml (3x90ml),3x90ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/nuii-caramel-white-chocolate-and-texan-pecan-270ml-3x90ml-11017415/
Oreo Ice Cream 440ml (4x110ml),4x110ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/oreo-ice-cream-440ml-4x110ml-11017410/
Raffaello Ice Cream 188g (4x47g),4x47g,"3,49",0,https://www.goflink.com//de-DE/shop/product/raffaello-ice-cream-188g-4x47g-11016334/
Snickers Ice Cream 302ml (6x51ml),6x51ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/snickers-ice-cream-302ml-6x51ml-11016797/
Snickers White Ice Cream 258ml (6x43ml),6x43ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/snickers-white-ice-cream-258ml-6x43ml-11016796/
Ice Age Eiswürfel 2kg,2kg,"1,99",0,https://www.goflink.com//de-DE/shop/product/ice-age-eiswurfel-2kg-11011003/
Ice Frocks Ice Balls 1kg,1kg,"3,79",0,https://www.goflink.com//de-DE/shop/product/ice-frocks-ice-balls-1kg-11017151/
Walter Gott Crushed Ice 2kg,2kg,"2,59",0,https://www.goflink.com//de-DE/shop/product/walter-gott-crushed-ice-2kg-11013336/
Walter Gott Ice Balls 1kg,1kg,"3,89",0,https://www.goflink.com//de-DE/shop/product/walter-gott-ice-balls-1kg-11013116/
Walter Gott Ice Cubes 2kg,2kg,"2,59",0,https://www.goflink.com//de-DE/shop/product/walter-gott-ice-cubes-2kg-11017659/
Walter Gott Ice Cubes Original 2kg,2kg,"2,59",0,https://www.goflink.com//de-DE/shop/product/walter-gott-ice-cubes-original-2kg-11017745/
Ben & Jerry's Ice Cream Cookie Dough Peaces 160ml (10 Stück),Stück,"5,99",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-ice-cream-cookie-dough-peaces-160ml-10-stuck-11016716/
Chubby Cheeks Mochis mit Pistazieneis 160g (5 Stück),Stück,"5,67","7,09",https://www.goflink.com//de-DE/shop/product/chubby-cheeks-mochi-mit-pistazieneis-180g-11013620/
Langnese Viennetta Vanille 650ml,650ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/langnese-viennetta-vanille-650ml-11017909/
O-Mochi Cheesecake Salted Caramel 180g (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/o-mochi-mochi-eis-salted-caramel-6-stuck-180g-11014176/
O-Mochi Muchos Kokos 180g (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/o-mochi-mochi-eis-coconut-6-stuck-180g-11013453/
O-Mochi Tango Mango 180g (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/o-mochi-tango-mango-180g-6-stuck-11016772/
O-Mochi Wow Kakao 180g (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/o-mochi-wow-kakao-180g-6-stuck-11016773/
WAO Mochi Ice Cream Coconut 216ml (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/wao-mochi-eis-kokosnuss-11014177/
WAO Mochi Ice Cream Vanilla 216ml (6 Stück),Stück,"4,99",0,https://www.goflink.com//de-DE/shop/product/wao-mochi-eis-vanille-11014178/
