productname,size,newprice,oldprice,link
Bärenmarke Haltbare Milch 3.8% Fett. 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/barenmarke-h-milch-3-8-1l-11010185/
Minus-L Haltbare Milch 1.5% Fett. 1l,1l,"1,59",0,https://www.goflink.com//de-DE/shop/product/minus-l-h-milch-1-5-1l-11010189/
Minus-L Haltbare Milch 3.5% Fett. 1l,1l,"1,69",0,https://www.goflink.com//de-DE/shop/product/minus-l-h-milch-3-5-1l-11010190/
MinusL Protein H-Milch 1l,1l,"0,57","1,89",https://www.goflink.com//de-DE/shop/product/minusl-protein-h-milch-1l-11014923/
Schwarzwaldmilch Bioland H-Milch 1.5% 1l,1l,"1,69",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-bioland-h-milch-1-5-1l-11015138/
Schwarzwaldmilch Bioland H-Vollmilch 3.5% 1l,1l,"1,79",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-bioland-h-vollmilch-3-5-1l-11015137/
Schwarzwaldmilch Protein H-Milch 0.9% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-h-milch-0-9-1l-11015905/
Weihenstephan Barista H- Milch 3% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/weihenstephan-barista-h-milch-3-1l-11016209/
Weihenstephan Haltbare Milch 1.5% Fett. 1l,1l,"1,39",0,https://www.goflink.com//de-DE/shop/product/weihenstephan-h-milch-1-5-1l-11010194/
Weihenstephan Haltbare Milch 3.5% Fett. 1l,1l,"1,49",0,https://www.goflink.com//de-DE/shop/product/weihenstephan-h-milch-3-5-1l-11010193/
Andechser Natur Bio Sauerrahm 10% Fett. 200g,200g,"0,99",0,https://www.goflink.com//de-DE/shop/product/andechser-bio-sauerrahm-10-200g-11011542/
Andechser Natur Bio Schmand 24% Fett. 150g,150g,"1,29",0,https://www.goflink.com//de-DE/shop/product/andechser-bio-schmand-24-150g-11011544/
Bercht. Land Bio Schlagrahm 32% 250g,250g,"1,69",0,https://www.goflink.com//de-DE/shop/product/bercht-land-bio-schlagrahm-32-500g-11013510/
Dr. Oetker Creme Fraiche 30% Fett. 150g,150g,"1,09",0,https://www.goflink.com//de-DE/shop/product/dr-oetker-creme-fraiche-classic-150g-11011259/
Dr. Oetker Creme Vega 150g,150g,"1,09",0,https://www.goflink.com//de-DE/shop/product/dr-oetker-creme-vega-150g-11013513/
Galbani Mascarpone 250g,250g,"3,39",0,https://www.goflink.com//de-DE/shop/product/galbani-mascarpone-250g-11012019/
Glücksklee Sprühsahne Finess 30%,30%,"2,29",0,https://www.goflink.com//de-DE/shop/product/glucksklee-spruhsahne-finess-30-11013494/
Hansano Schlagsahne 30% Fett. 250g,250g,"1,29",0,https://www.goflink.com//de-DE/shop/product/hansano-schlagsahne-30-g-11010212/
Oatly Bio Hafer Cuisine 250ml,250ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/oatly-bio-hafer-cuisine-250ml-11013057/
REWE Beste Wahl Kokosmilch cremig 400ml,400ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-kokosmilch-cremig-400ml-11017318/
REWE Bio Kokosmilch 400ml,400ml,"1,27","1,59",https://www.goflink.com//de-DE/shop/product/rewe-bio-kokosmilch-400ml-11013160/
REWE Bio Saure Sahne 200g,200g,"0,59",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-saure-sahne-200g-11013014/
REWE Bio Schmand 150g,150g,"0,69",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-schmand-150g-11013016/
Rama Cremefine Zum Schlagen 19% 250ml,250ml,"1,39",0,https://www.goflink.com//de-DE/shop/product/rama-cremefine-zum-schlagen-19-250ml-11017626/
Rama Cremefine z. Kochen 15% 250ml,250ml,"1,39",0,https://www.goflink.com//de-DE/shop/product/rama-cremefine-z-kochen-15-250ml-11013506/
Rama Cremefine z. Kochen 7% 250ml,250ml,"1,39",0,https://www.goflink.com//de-DE/shop/product/rama-cremefine-z-kochen-7-250ml-11013505/
Rewe Bio Schlagsahne 30%,30%,"0,89",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-schlagsahne-30-11013557/
Schwarzwaldmilch Creme Fraiche 30% i. Tr. 150g,150g,"0,99",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-creme-fraiche-30-i-tr-150g-11013483/
Schwarzwaldmilch Schlagsahne 32% Fett 200g,200g,"1,29",0,https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-bioland-schlagsahne-30-fett-200g-11013461/
Schwälbchen Schlagsahne 30% 200g,200g,"1,09",0,https://www.goflink.com//de-DE/shop/product/schwalbchen-schlagsahne-35-250g-11013549/
Schwälbchen Schmand 24% 200g,200g,"1,09",0,https://www.goflink.com//de-DE/shop/product/schwalbchen-schmand-24-200g-11013547/
Tuffi Schlagsahne 30% 250g,250g,"1,39",0,https://www.goflink.com//de-DE/shop/product/tuffi-schlagsahne-30-250g-11013491/
Alsan Bio Pflanzen Margarine 250g,250g,"1,79",0,https://www.goflink.com//de-DE/shop/product/alsan-bio-pflanzen-margarine-250g-11012458/
Arla Butter Kaergarden Gesalzen 250g,250g,"3,29",0,https://www.goflink.com//de-DE/shop/product/arla-butter-kaergarden-gesalzen-250g-11010166/
Arla Butter Kaergarden Ungesalzen 250g,250g,"3,29",0,https://www.goflink.com//de-DE/shop/product/arla-kaergarden-ungesalzen-250g-11010167/
Arla Kaergarden Bio 200g,200g,"3,29",0,https://www.goflink.com//de-DE/shop/product/arla-kargarden-bio-200g-11017625/
Becel ProAktiv Halbfette Margarine 250g,250g,"2,99",0,https://www.goflink.com//de-DE/shop/product/becel-pro-aktiv-halbfette-margarine-250g-11010183/
Bercht. Land Bio Alpenbutter mild 250g,250g,"2,99",0,https://www.goflink.com//de-DE/shop/product/bercht-land-bio-alpenbutter-mild-250g-11013507/
Bertolli Margarine 500g,500g,"2,39",0,https://www.goflink.com//de-DE/shop/product/bertolli-margarine-500g-11011540/
Brazzale Butter. geräuchert 125g,125g,"2,99",0,https://www.goflink.com//de-DE/shop/product/brazzale-butter-gerauchert-125g-11017546/
Brazzale Butter. ungesalzen 125g,125g,"2,89",0,https://www.goflink.com//de-DE/shop/product/brazzale-butter-ungesalzen-125g-11017447/
Dr. Oetker Frische Hefe 42g,42g,"0,29",0,https://www.goflink.com//de-DE/shop/product/dr-oetker-frische-hefe-42g-11011855/
Gläserne Molkerei Bio Fassbutter Sauerrahm natur 250g,250g,"2,99",0,https://www.goflink.com//de-DE/shop/product/glaserne-molkerei-bio-fassbutter-sauerrahm-natur-250g-11012328/
Kerrygold Irische Butter 250g,250g,"3,49",0,https://www.goflink.com//de-DE/shop/product/kerrygold-irische-butter-250g-11010168/
Lätta 250g,250g,"1,29",0,https://www.goflink.com//de-DE/shop/product/latta-250g-11010182/
Lätta Halbfettmargarine 250g,250g,"1,39",0,https://www.goflink.com//de-DE/shop/product/latta-halbfettmargarine-250g-11013331/
Lätta Original Margarine 500g,500g,"2,29",0,https://www.goflink.com//de-DE/shop/product/latta-original-margerine-500g-11011539/
