productname,size,newprice,oldprice,link
Fang die Nuss Haselnuss Likör 18% vol. 0.5l,"0,5l","13,34","15,69",https://www.goflink.com//de-DE/shop/product/fang-die-nuss-haselnuss-likor-18-vol-0-5l-11014885/
Fang die Nuss Haselnuss Schnaps 36% vol. 0.5l,"0,5l","15,29","17,99",https://www.goflink.com//de-DE/shop/product/fang-die-nuss-haselnuss-schnaps-36-vol-0-5l-11014886/
Fläminger Jagd 30% vol. 0.7l,"0,7l","7,29",0,https://www.goflink.com//de-DE/shop/product/flaminger-jagd-30-vol-0-7l-11014504/
Frangelico Haselnuss Likör 0.7l,"0,7l","7,84","15,69",https://www.goflink.com//de-DE/shop/product/frangelico-haselnuss-likor-0-7l-11014840/
Grappa Cellini Oro 38% vol. 0.7l,"0,7l","6,04","12,09",https://www.goflink.com//de-DE/shop/product/grappa-cellini-oro-38-0-7l-11012380/
Jägermeister 35% vol. 0.7l,"0,7l","12,99",0,https://www.goflink.com//de-DE/shop/product/jagermeister-35-0-7l-11010037/
Killepitsch Kräuterlikör 42% 0.7l,"0,7l","16,79",0,https://www.goflink.com//de-DE/shop/product/killepitsch-krauterlikor-42-0-7l-11017238/
Kleiner Klopfer Fun Mix 17% vol. 25x20ml,25x20ml,"9,39",0,https://www.goflink.com//de-DE/shop/product/kleiner-klopfer-18-vol-25x20ml-11016953/
Licor 43 31% vol. 0.7l,"0,7l","16,79",0,https://www.goflink.com//de-DE/shop/product/licor-43-31-vol-0-7l-11014509/
Nordbrand Pfefferminzlikör 18% vol. 0.7l,"0,7l","3,99",0,https://www.goflink.com//de-DE/shop/product/nordbrand-pfefferminzlikor-18-vol-0-7l-11014502/
Ramazzotti Amaro 30% vol. 0.7l,"0,7l","14,69",0,https://www.goflink.com//de-DE/shop/product/ramazzotti-amaro-30-0-7l-11010038/
Sierra Tequila Silver 38% vol. 0.7l,"0,7l","14,99",0,https://www.goflink.com//de-DE/shop/product/sierra-tequila-silver-0-7l-11012602/
Wilthener Gebirgskräuter 30% vol. 0.7l,"0,7l","3,64","7,29",https://www.goflink.com//de-DE/shop/product/wilthener-gebirgskrauter-30-vol-0-7l-11014507/
Wilthener Goldkrone 28% vol. 0.7l,"0,7l","2,99","5,99",https://www.goflink.com//de-DE/shop/product/wilthener-goldkrone-28-vol-0-7l-11014505/
Wurzelpeter Kräuterlikör 30% vol. 0.7l,"0,7l","7,29",0,https://www.goflink.com//de-DE/shop/product/wurzelpeter-krauterlikor-30-vol-0-7l-11014503/
Tanqueray Black Royale 41.3% vol. 0.7l,"0,7l","11,99","23,99",https://www.goflink.com//de-DE/shop/product/tanqueray-black-royale-41-3-0-7l-11012961/
Tanqueray London Dry Gin 47.3% vol. 0.7l,"0,7l","19,99",0,https://www.goflink.com//de-DE/shop/product/tanqueray-london-dry-gin-47-3-0-7l-11010032/
Bombay Dry Gin 37.5% vol. 0.7l,"0,7l","15,99",0,https://www.goflink.com//de-DE/shop/product/bombay-dry-gin-37-5-0-7l-11010031/
Bombay Sapphire Gin 40% vol. 0.7l,"0,7l","22,99",0,https://www.goflink.com//de-DE/shop/product/bombay-sapphire-gin-40-0-7l-11010030/
GINSTR Stuttgart Dry Gin 44% vol. 0.5l,"0,5l","36,99",0,https://www.goflink.com//de-DE/shop/product/ginstr-stuttgart-dry-gin-44-0-5l-11012753/
Gin de Cologne 42% vol. 0.5l,"0,5l","30,99",0,https://www.goflink.com//de-DE/shop/product/gin-de-cologne-42-0-5l-11012676/
Hendrick's Gin 44% 0.7l,"0,7l","34,99",0,https://www.goflink.com//de-DE/shop/product/hendricks-gin-44-0-7l-11011960/
"Inkognito Gin Nr.5 ""Old Tom Style"" 45% 0.5l Geschenkbox",Geschenkbox,"36,99",0,https://www.goflink.com//de-DE/shop/product/inkognito-gin-nr-5-old-tom-style-45-0-5l-weihnachtsbox-11015577/
Knut Hansen Gin Dry 42% 0.5l,"0,5l","38,99",0,https://www.goflink.com//de-DE/shop/product/knut-hansen-gin-dry-42-0-5l-11016939/
Kyrö Finnish Rye Gin 46.3% vol. 0.5l,"0,5l","30,99",0,https://www.goflink.com//de-DE/shop/product/kyro-finnish-rye-gin-46-3-vol-0-5l-11014087/
Laori Juniper No 1 alkoholfreies Destillat 0.5l,"0,5l","18,19","25,99",https://www.goflink.com//de-DE/shop/product/laori-juniper-no-1-alkoholfreies-destillat-0-5l-11014319/
Malfy Gin Rosa 41% vol. 0.7l,"0,7l","30,99",0,https://www.goflink.com//de-DE/shop/product/malfy-gin-rosa-41-0-7l-11012377/
Monkey 47 Gin 47% vol. 0.5l,"0,5l","39,99",0,https://www.goflink.com//de-DE/shop/product/monkey-47-gin-47-0-5l-11010029/
Roku Japanese Gin 43% vol. 0.7l,"0,7l","26,99",0,https://www.goflink.com//de-DE/shop/product/roku-japanese-gin-43-vol-0-7l-11014499/
Seedlip Spice 94 Alkoholfreie Spirituose 0.7l,"0,7l","9,30","30,99",https://www.goflink.com//de-DE/shop/product/seedlip-spice-94-alkoholfreies-destillat-0-0-0-7l-11012638/
Siegfried Rheinland Dry Gin 41% vol. 0.5l,"0,5l","30,99",0,https://www.goflink.com//de-DE/shop/product/siegfried-gin-41-11016020/
Siegfried Wonderleaf Alkoholfreies Destillat 0.5l,"0,5l","19,99",0,https://www.goflink.com//de-DE/shop/product/siegfried-wonderleaf-alkoholfreies-destillat-0-5l-11014500/
Tanqueray Rangpur Lime Gin 41.3% vol. 0.7l,"0,7l","11,99","23,99",https://www.goflink.com//de-DE/shop/product/tanqueray-rangpur-gin-41-3-0-7l-11012960/
Whobertus Dry Gin 42% 0.5L,"0,5L","35,99",0,https://www.goflink.com//de-DE/shop/product/whobertus-dry-gin-42-0-5l-11015223/
Bud Spencer - The Legend - Whisky mild 46 % vol. 0.7l,"0,7l","41,99",0,https://www.goflink.com//de-DE/shop/product/bud-spencer-the-legend-whisky-mild-0-7l-46-vol-11016675/
Bulleit Bourbon American Whiskey 45% vol. 0.7l,"0,7l","13,99","27,99",https://www.goflink.com//de-DE/shop/product/bulleit-bourbon-45-0-7l-11012634/
Glenfiddich Single Malt 12Y. 40% vol. 0.7l,"0,7l","30,99",0,https://www.goflink.com//de-DE/shop/product/glenfiddich-single-malt-12y-40-700ml-11013265/
Glenmorangie X Single Malt Scotch 40% vol. 0.7l,"0,7l","15,49","30,99",https://www.goflink.com//de-DE/shop/product/glenmorangie-x-single-malt-scotch-40-0-7l-11012494/
Jack Daniels 40% vol. 0.7l,"0,7l","19,99",0,https://www.goflink.com//de-DE/shop/product/jack-daniels-40-0-7l-11012514/
Jameson Irish Whiskey 40% vol. 0.7l,"0,7l","21,99",0,https://www.goflink.com//de-DE/shop/product/jameson-irish-whiskey-40-0-7l-11010015/
Jim Beam Honey 32.5% vol. 0.7l,"0,7l","15,49",0,https://www.goflink.com//de-DE/shop/product/jim-beam-honey-32-5-vol-0-7l-11017210/
Jim Beam White 40% vol. 0.7l,"0,7l","15,99",0,https://www.goflink.com//de-DE/shop/product/jim-beam-white-40-0-7l-11012029/
Johnnie Walker Black Label Blended Scotch Whisky 40% vol. 0.7l,"0,7l","28,99",0,https://www.goflink.com//de-DE/shop/product/johnnie-walker-black-40-0-7l-11010017/
Johnnie Walker Red Label Blended Scotch Whisky 40% vol. 0.7l,"0,7l","16,29",0,https://www.goflink.com//de-DE/shop/product/johnnie-walker-red-40-0-7l-11010018/
Kyrö Finnish Malt Rye Whiskey 47.2% vol. 0.5l,"0,5l","48,99",0,https://www.goflink.com//de-DE/shop/product/kyro-finnish-malt-rye-whiskey-0-5l-11014088/
Maker's Mark Bourbon Whisky Handmade 45% vol. 0.7l,"0,7l","15,49","30,99",https://www.goflink.com//de-DE/shop/product/makers-mark-bourbon-whisky-handmade-45-vol-0-7l-11014518/
Talisker Malt 10Y Single Malt Scotch Whisky 45.8% vol. 0.7l,"0,7l","19,99","39,99",https://www.goflink.com//de-DE/shop/product/talisker-malt-10y-45-8-0-7l-11012637/
Tullamore Dew 40% vol. 0.7l,"0,7l","19,99",0,https://www.goflink.com//de-DE/shop/product/tullamore-dew-40-0-7l-11012379/
Aperol Aperitivo 11% vol. 0.7l,"0,7l","10,99",0,https://www.goflink.com//de-DE/shop/product/aperol-aperitivo-11-0-7l-11011175/
Belsazar Aperitif Vermouth Rosé 18% vol. 0.75L,"0,75L","8,99","17,99",https://www.goflink.com//de-DE/shop/product/belsazar-vermouth-rose-vermouth-18-0-7l-11012640/
Campari Bitter 25% vol. 0.7l,"0,7l","14,49",0,https://www.goflink.com//de-DE/shop/product/campari-bitter-25-0-7l-11011174/
Lillet Rosé Aperitif 17% vol. 0.75l,"0,75l","15,49",0,https://www.goflink.com//de-DE/shop/product/lillet-rose-aperitif-17-0-75l-11012028/
Lillet Weiß Aperitif 17% vol. 0.75l,"0,75l","15,49",0,https://www.goflink.com//de-DE/shop/product/lillet-weiss-aperitif-17-0-75l-11012027/
